datetime,username,message,is_file
2022-09-02 13:26:00,SYSTEM,"Pesan dan panggilan dienkripsi secara end-to-end. Tidak seorang pun di luar chat ini, termasuk WhatsApp, yang dapat membaca atau mendengarkannya. Ketuk untuk info selengkapnya.",False
2022-09-02 13:26:00,BSM,"QZA, aku BSM",False
2022-09-02 13:26:00,BSM,"Mau tanya, kamu udah mulai ngerjain rkpl nya?",False
2022-09-02 13:29:00,BSM,Kamu pakai course apa? Aku bingung,False
2022-09-02 13:30:00,QZA,belomm bayy,False
2022-09-02 13:30:00,QZA,course yt rencanaa e,False
2022-09-02 13:31:00,BSM,Sama,False
2022-09-02 13:31:00,BSM,Oke2 makasi ya,False
2022-09-02 17:49:00,BSM,QZA,False
2022-09-02 17:49:00,BSM,kamu tadi sampai gini?,False
2022-09-02 17:49:00,BSM,‎IMG-20220902-WA0004.jpg,True
2022-09-02 17:51:00,QZA,ha ahhh,False
2022-09-02 17:51:00,QZA,bener2,False
2022-09-02 17:52:00,BSM,tapi di aku ngga ada email masuk,False
2022-09-02 17:52:00,QZA,samaa,False
2022-09-02 17:52:00,BSM,ngga otomatis terkirim gitu ya,False
2022-09-02 17:52:00,QZA,kata bapaknya nanti bapaknya acc nth apaa tu,False
2022-09-02 17:52:00,BSM,hoo oke oke,False
2022-09-02 17:52:00,BSM,tinggal nunggu,False
2022-09-02 17:53:00,QZA,yapp,False
2022-09-07 19:36:00,BSM,‎IMG-20220907-WA0008.jpg,True
2022-09-07 19:36:00,BSM,QZA pweb mu masih alpha gini ngga?,False
2022-09-07 19:53:00,QZA,ha ahh masi,False
2022-09-07 19:53:00,QZA,biarin aja pweb itu absennya emg pak johan ug nguruz,False
2022-09-07 19:58:00,BSM,Oke makasi,False
2022-09-07 20:28:00,QZA,sipp,False
